Name,Type,Industries,Stage,Location,Website,Contact Email
Andreessen Horowitz,VC,"Software, Crypto, Fintech, Bio","Seed, Series A, Series B",Menlo Park,https://a16z.com,info@a16z.com
Sequoia Capital,VC,"Enterprise, Consumer, Healthcare","Seed, Growth, IPO",Menlo Park,https://sequoiacap.com,contact@sequoia.com
LocalGlobe,VC,"Generalist, SaaS, Deeptech","Pre-seed, Seed",London,https://localglobe.vc,hello@localglobe.vc
Founders Fund,VC,"Space, Defense, AI, Healthcare","Seed, Series A, Series B",San Francisco,https://foundersfund.com,
Tiger Global,Hedge Fund,"Tech, Internet, Software","Series B, Series C, Growth",New York,https://tigerglobal.com,
Y Combinator,Accelerator,"Generalist, Software","Pre-seed, Seed",Mountain View,https://ycombinator.com,apply@ycombinator.com
Greylock Partners,VC,"Enterprise, Consumer, Security","Seed, Series A",Menlo Park,https://greylock.com,
Benchmark,VC,"Consumer, Enterprise, Fintech","Series A",San Francisco,https://benchmark.com,
Index Ventures,VC,"E-commerce, Fintech, Infrastructure","Seed, Series A, Growth",London & San Francisco,https://indexventures.com,
Accel,VC,"Cloud, Consumer, SaaS","Seed, Series A, Series B",Palo Alto,https://accel.com,
